Model,Type,Accuracy,Precision,Recall,Macro F1,ROC-AUC
Naive Bayes,Traditional,0.7293329240843053,0.25,0.0413341518313894,0.4562654948295171,0.5
Naive Bayes (Base),Ensemble,0.7293329240843053,0.25,0.0413341518313894,0.4562654948295171,0.5
Stacking,Ensemble,0.6928586044608144,0.2523281596452328,0.1164313484755473,0.4857220107446879,0.5182906624716199
Hard Voting,Ensemble,0.6783814200941273,0.2721354166666667,0.1710660937180274,0.5040812606655549,0.508446842993792
Soft Voting,Ensemble,0.6498874565172907,0.254946155772602,0.2083077552690812,0.5013883820277784,0.508446842993792
SVM (Base),Ensemble,0.5640986290157561,0.2518437585359191,0.3773276038469408,0.492576642336011,0.5023768391345241
SVM,Traditional,0.5640986290157561,0.2518437585359191,0.3773276038469408,0.492576642336011,0.5023768391345241
Random Forest,Traditional,0.5526396562308165,0.2762700069589422,0.487415592387968,0.5054393330932151,0.5468992240109736
Random Forest (Base),Ensemble,0.5526396562308165,0.2762700069589422,0.487415592387968,0.5054393330932151,0.5468992240109736
Logistic Regression,Traditional,0.5356558215674238,0.2513648231663897,0.4333947206875383,0.4830657768494697,0.5022067164824984
Logistic Regression (Base),Ensemble,0.5356558215674238,0.2513648231663897,0.4333947206875383,0.4830657768494697,0.5022067164824984
BERT (RoBERTa-RACE),Neural,0.529472,0.529574,0.530183,0.529046,-
